"codename","en_title","cn_title","stripped_title","en_text","cn_text","stripped_text","advancement_requirement","agenda_points","attribution","base_link","type_codename","subtype_codenames","cost","deck_limit","designed_by","faction_codename","influence_cost","influence_limit","is_unique","memory_cost","minimum_deck_size","pronouns","pronunciation_approx","pronunciation_ipa","side_codename","strength","trash_cost"
"15_minutes","15 Minutes","15分钟","15 Minutes","[click]: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area.
Limit 1 per deck.","[click]: 将15分钟洗入研发中心。当15分钟在潜袭者的分数区时，公司能触发本能力。
每套牌组限制1张。","click: Shuffle 15 Minutes into R&D. The Corp can trigger this ability while 15 Minutes is in the Runner's score area. Limit 1 per deck.","2","1","","","agenda","","","1","fantasy_flight_games","nbn","","","True","","","","","","corp","",""
"24_7_news_cycle","24/7 News Cycle","24/7新闻循环","24/7 News Cycle","As an additional cost to play 24/7 News Cycle, forfeit an agenda.
Resolve the ""when scored"" ability on an agenda in your score area.","作为打出24/7新闻循环的额外费用，废除一个议案。
结算你分数区中一个议案的“计分时”能力。","As an additional cost to play 24/7 News Cycle, forfeit an agenda. Resolve the ""when scored"" ability on an agenda in your score area.","","","","","operation","","0","3","fantasy_flight_games","nbn","3","","False","","","","","","corp","",""
"419_amoral_scammer","419: Amoral Scammer","","419: Amoral Scammer","The first time the Corp installs a card each turn, you may expose that card unless the Corp pays 1[credit].","","The first time the Corp installs a card each turn, you may expose that card unless the Corp pays 1 credit.","","","","1","runner_identity","[""natural""]","","1","fantasy_flight_games","criminal","","15","False","","45","","","","runner","",""
"a_teia_ip_recovery","A Teia: IP Recovery","密网: 知识产权回收","A Teia: IP Recovery","Limit 2 remote servers.
The first time each turn you install a card in the root of or protecting a remote server, you may install 1 card from HQ in the root of or protecting another remote server, ignoring all costs. You cannot score the second card this turn.","限制2台远程服务器。
每回合你第一次安装一张卡牌到一台远程服务器的根目录或保护一台远程服务器时，你可以从总部安装1张卡牌到另一台远程服务器的根目录或保护另一台远程服务器，忽略所有的费用。你本回合不能将后者计分。","Limit 2 remote servers. The first time each turn you install a card in the root of or protecting a remote server, you may install 1 card from HQ in the root of or protecting another remote server, ignoring all costs. You cannot score the second card this turn.","","","","","corp_identity","[""division""]","","1","null_signal_games","jinteki","","15","False","","45","","a t-EH-yah","a tˈejɐ","corp","",""
"aaron_marron","Aaron Marrón","亚伦·马伦","Aaron Marron","Whenever an agenda is scored or stolen, place 2 power counters on Aaron Marrón.
<strong>Hosted power counter:</strong> Remove 1 tag and draw 1 card.","每当一个议案被计分或窃取时，放置2枚能量指示物到亚伦·马伦上。
<strong>所附载的能量指示物</strong>: 移除1枚锁定标记并补一张卡牌。","Whenever an agenda is scored or stolen, place 2 power counters on Aaron Marron. Hosted power counter: Remove 1 tag and draw 1 card.","","","","","resource","[""connection""]","2","3","fantasy_flight_games","criminal","2","","True","","","","","","runner","",""
"abaasy","Abaasy","阿巴契","Abaasy","The first time each turn this program fully breaks a piece of ice, you may trash 1 card from your grip to draw 1 card.
Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>2[credit]:</strong> +2 strength.","每回合你第一次仅使用本程序破解所遭遇防火墙上的所有子进程时，你可以从你的操控器销毁1张卡牌，以抽1张卡牌。
对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>2[credit]:</strong> 强度+2。","The first time each turn this program fully breaks a piece of ice, you may trash 1 card from your grip to draw 1 card. Interface -> 1 credit: Break 1 code gate subroutine. 2 credits: +2 strength.","","","","","program","[""icebreaker"", ""decoder""]","2","3","null_signal_games","anarch","2","","False","1","","","","","runner","1",""
"abagnale","Abagnale","阿巴内尔","Abagnale","Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>2[credit]:</strong> +2 strength.
[trash]<strong>:</strong> Bypass the <strong>code gate</strong> you are encountering.","对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>2[credit]:</strong> 强度+2。
[trash]<strong>:</strong> 略过你当前正在遭遇的<strong>门禁</strong>。","Interface -> 1 credit: Break 1 code gate subroutine. 2 credits: +2 strength. trash: Bypass the code gate you are encountering.","","","","","program","[""icebreaker"", ""decoder""]","4","3","fantasy_flight_games","criminal","2","","False","1","","","","","runner","2",""
"ablative_barrier","Ablative Barrier","烧蚀屏障","Ablative Barrier","Threat 3 → When you rez this ice during a run against this server, you may install 1 non-agenda card from HQ or Archives in the root of or protecting another server. <em>(This ability is active if any player has 3 or more agenda points.)</em>
[subroutine] End the run.","威胁3 → 在对本服务器的潜袭中，当你激活本防火墙时，你可以从总部或档案库安装1张非议案卡牌到另一台服务器的根目录或保护另一台服务器。<em>（本能力在任一玩家有3点或更多议案分数时生效。）</em>
[subroutine] 终止本次潜袭。","Threat 3 -> When you rez this ice during a run against this server, you may install 1 non-agenda card from HQ or Archives in the root of or protecting another server. (This ability is active if any player has 3 or more agenda points.) Subroutine End the run.","","","","","ice","[""barrier""]","2","3","null_signal_games","haas_bioroid","2","","False","","","","","","corp","1",""
"above_the_law","Above the Law","凌驾法律","Above the Law","When you score this agenda, you may trash 1 installed resource.
Limit 1 per deck.","当你将本议案计分时，你可以销毁1个已安装的资源。
每套牌组限制1张。","When you score this agenda, you may trash 1 installed resource. Limit 1 per deck.","3","2","","","agenda","[""security""]","","1","null_signal_games","weyland_consortium","","","False","","","","","","corp","",""
"acacia","Acacia","","Acacia","Whenever the Corp purges virus counters, you may gain 1[credit] for each virus counter removed and trash Acacia.","","Whenever the Corp purges virus counters, you may gain 1 credit for each virus counter removed and trash Acacia.","","","","","hardware","","1","3","fantasy_flight_games","anarch","1","","False","","","","","","runner","",""
