"card_codename","update_date","text_ruling","question","answer","nsg_rules_team_verified"
"419_amoral_scammer","2018-04-06","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 22](http://ancur.wikia.com/wiki/The_Devil_and_the_Dragon_UFAQ) [Michael Boggs]
After the Corp installs a card for the first time in a turn, who decides first?

* (A) Does the Runner decide to use the ability, forcing the Corp to pay 1<span class=""icon icon-credit""></span> or expose the card, or
* (B) Does the Corp decide whether or not to pay 1<span class=""icon icon-credit""></span>, allowing the Runner to choose whether or not the card should be exposed?","A. The Runner chooses to use the ability, then the Corp chooses whether or not to pay the 1<span class=""icon icon-credit""></span>.","False"
"aaron_marron","2017-04-21","","####UFAQ [Michael Boggs]
Can the Runner use Aaron Marrón when they have no tags? How about if the stack is empty?","As long as either a tag would be removed or a card would be drawn, the ability has the potential to change the game state and thus can be used. If both the stack is empty and the Runner has no tags, then Aaron Marrón cannot possibly change the game state and thus cannot be used.","False"
"acacia","2018-02-02","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 20](http://ancur.wikia.com/wiki/Down_the_White_Nile_UFAQ) [Michael Boggs]
Can the Runner prevent Acacia from being trashed and still gain the credits?","Yes.","False"
"accelerated_diagnostics","2017-04-09","Looking at the top 3 cards of R&D does not remove the cards
from R&D. The cards are still in R&D and able to be affected by
operations played with Accelerated Diagnostics. [Official FAQ]","","","False"
"accelerated_diagnostics","2017-04-09","Each operation the Corp looks at can be played in any order. The
Corp does not have to play the topmost operation first. [Official FAQ]","","","False"
"accelerated_diagnostics","2017-04-09","When the Corp plays an operation, they fully resolve it before
playing another one or trashing the rest of the cards. [Official FAQ]","","","False"
"accelerated_diagnostics","2017-04-09","If any of the 3 cards looked at are no longer in the top 3 positions
of R&D (as determined when Accelerated Diagnostics was played),
then those cards cannot be played. [Official FAQ]","","","False"
"accelerated_diagnostics","2017-04-09","The Corp can only play and look at the top 3 cards (as determined
when Accelerated Diagnostic was played). Even if other cards are
moved into the top 3, those cards are not eligible to be played/
looked at by the Accelerated Diagnostics. [Official FAQ]","","","False"
"accelerated_diagnostics","2017-04-09","If one of the operations played shuffles R&D, the remainder of
Accelerated Diagnostics’ effect is ignored. [Official FAQ]","","","False"
"account_siphon","2017-04-08","The Runner can choose to not use the ability on Account Siphon
when accessing cards, and if so does not take any tags. [Official FAQ]","","","False"
"account_siphon","2017-04-08","If the Runner ends up running successfully on another server
than HQ, the “If successful...” effect on Account Siphon cannot be
triggered. [Official FAQ]","","","False"
"acme_consulting_the_truth_you_need","2018-08-01","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 24](http://ancur.wikia.com/wiki/Reign_and_Reverie_UFAQ) [Michael Boggs]
Can the additional tag from Acme Consulting be removed?","No. The Runner is considered to have an additional tag during encounters with outermost ice, even when they have none, but it does not exist for the purposes of being manipulated (such as removing it).","False"
"ad_blitz","2017-04-09","The Corp must both install and rez any advertisements chosen by
Ad Blitz. [Official FAQ]","","","False"
"adam_compulsive_hacker","2017-04-12","","####UFAQ [Michael Boggs]
When does the Runner need to decide which 3 directives Adam starts the game with?","The Runner chooses which 3 directives Adam uses after IDs are revealed.","False"
"adjusted_matrix","2017-05-25","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
When can the Runner use the ability gained by Adjusted Matrix?","The Runner can use this ability if the host icebreaker meets the strength of the encountered ice. Treat the card as if it said “Host icebreaker gains **AI** and ""You may spend <span class=""icon icon-click""></span> to break any subroutine on a piece of ice currently being encountered.""","False"
"aeneas_informant","2018-02-13","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 19](http://ancur.wikia.com/wiki/Sovereign_Sight_UFAQ) [Michael Boggs]
**Updated** If the Runner uses [Salsette Slums](/en/card/10059) to remove an accessed card from the game, does Aeneas Informant trigger?","Yes. The Runner accessed a card and did not trash it.","False"
"aeneas_informant","2018-02-13","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 15](http://ancur.wikia.com/wiki/Earth's_Scion_UFAQ) [Michael Boggs]
Can the Runner use Aeneas Informant when accessing a rezzed card?","Yes. Revealing the card is part of the effect and not a condition for using the ability.

If the Runner has both [Maw](/en/card/12002) and Aeneas Informant installed, what happens if the first card accessed is not trashed or stolen? What if the card trashed by Maw is that already accessed card?","False"
"aesops_pawnshop","2022-04-23","","Can [Aesop’s Pawnshop](https://netrunnerdb.com/en/card/31035) be used multiple times in a turn to trash multiple cards?","No, there is only one opportunity for ‘when your turn begins’ effects to meet their trigger condition.","False"
"afshar","2019-04-27","","####[NISEI](http://nisei.net) [Downfall Release Notes](http://nisei.net/products/Downfall/DFReleaseNotes#QandAforDownfall) [NISEI Rules Team]
What happens if Afshar is protecting HQ and gains additional subroutines?","The additional subroutines can be broken normally. Afshar’s ability only affects its printed subroutines.","False"
"afterimage","2020-03-20","","####[NISEI](https://nisei.net) [Uprising Release Notes](https://nisei.net/files/Uprising_Release_Notes.pdf) [NISEI Rules Team]
Can the Runner use Pelangi to make a piece of ice a sentry and then bypass it with Afterimage?","No. Pelangi can only add subtypes to ice during the paid ability window of an encounter, and Afterimage meets its trigger condition when an encounter begins. There is no opportunity to use Pelangi in time to trigger Afterimage's bypass ability for that same encounter.","False"
"aggressive_negotiation","2017-04-07","Aggressive Negotiation can be played if the Corp scores an agenda
during step 1.1 of their draw phase. [Official FAQ]","","","False"
"aggressive_secretary","2017-04-08","The programs are trashed at the same time. [Official FAQ]","","","False"
"aggressive_secretary","2017-04-08","The Corporation cannot choose to trash the same program more
than once. [Official FAQ]","","","False"
"aghora","2022-01-04","","####UFAQ [Damon Stone]
Does [Reina Roja's](/en/card/04041) ability allow a newly rezzed piece of ice with a printed rez cost of 4 to be broken by Aghora?","No. Reina's ability only lasts for the duration in which the Corp is paying to rez the ice.

Can the Runner use Aghora to swap in another copy of Aghora from the grip?","False"
"aginfusion_new_miracles_for_a_new_world","2022-12-11","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
If the Corp uses [AgInfusion](/en/card/12052) to redirect the Runner to a different server, what happens if the outermost ice protecting the new server is unrezzed?","If the outermost piece of ice is unrezzed, the Runner passes it and proceeds as normal for a run on the new server. There is no opportunity to rez the ice because the approach phase is skipped.
 
If the Corp uses [AgInfusion](/en/card/12052) to redirect the Runner to a different server with a rezzed piece of ice, can the Runner jack out before encountering that ice?","False"
"aginfusion_new_miracles_for_a_new_world","2022-12-11","","When the Corp uses [AgInfusion](/en/card/12052)'s ability, does it close the paid ability window? Can the runner use paid abilities before encountering the outermost ice on the server they are redirected to?","[AgInfusion](/en/card/12052)'s ability does close the paid ability window. The Runner does not have the opportunity to use paid abilities before the encounter with the outermost ice protecting the new server begins.","False"
"aginfusion_new_miracles_for_a_new_world","2022-12-11","","If the Corp uses [AgInfusion](/en/card/12052) to redirect the Runner to a different server, what happens if there is no ice protecting the new server? Can the Runner jack out?","The runner moves to the Movement Phase, 6.9.4. The runner can jack out before approaching the server.","False"
"akhet","2020-04-23","","####[NISEI](https://nisei.net) [Uprising Release Notes](https://nisei.net/files/Uprising_Release_Notes.pdf) [NISEI Rules Team]
What happens if Akhet has 3 or more hosted advancement tokens and gains additional subroutines?","The additional subroutines can be broken normally. Akhet's ability only affects its printed subroutines.","False"
"algernon","2022-05-27","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 24](http://ancur.wikia.com/wiki/Reign_and_Reverie_UFAQ) [Michael Boggs]
If the Runner uses Algernon to gain <span class=""icon icon-click""></span>, but then uses [Dr. Lovegood](/en/card/09042) to blank Algernon, is it still trashed at the end of the turn if the Runner doesn't make a successful run?","Yes. Once triggered, Algernon's ability exists independently of the source card, so the second part of its ability will still trigger when the turn ends.

Audited by NISEI Rules (2022.05).","True"
"algo_trading","2017-04-12","","####UFAQ [Michael Boggs]
Does Algo Trading start getting 2<span class=""icon icon-credit""></span> from the bank on the second or third turn after it is installed?","Algo Trading’s second ability can start putting 2<span class=""icon icon-credit""></span> on it the second turn after it is installed. Both abilities meet their trigger condition at the same time each turn, so the Runner can choose the order in which they trigger. The second ability does not check how many credits are on Algo Trading until it resolves, so if the Runner chooses to trigger the first ability before the second ability and this brings the number of credits on it up to 6, then the second ability will be able to resolve.","False"
"alice_merchant_clan_agitator","2017-06-23","","####[ANCUR](https://twitter.com/anr_ruleswiki) UFAQ [Michael Boggs]
When Alice Merchant makes a successful run on Archives, does the Corp trash a card from HQ before or after the Runner accesses cards?","Before.","False"
"allele_repression","2017-04-09","Allele Repression can add itself to HQ as part of the resolution of its
effect. [Official FAQ]","","","False"
"always_be_running","2017-04-09","Programs that make a run, such as Sneakdoor Beta, Keyhole, etc., **do
not** fulfill the requirement to make a run on Always Be Running. [Official FAQ]","","","False"
"always_have_a_backup_plan","2019-04-27","","####[NISEI](http://nisei.net) [Downfall Release Notes](http://nisei.net/products/Downfall/DFReleaseNotes#QandAforDownfall) [NISEI Rules Team]
If the last ice you encountered during the first run of Always Have a Backup Plan is swapped to a different server, uninstalled, or derezzed, what happens during the second run?","In either case, the Runner does not encounter that piece of ice, and thus no ice is bypassed.

If the first run with Always Have a Backup Plan is deflected to a new server, which server does the Runner run the second time?","False"
"amani_senai","2018-04-06","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 22](http://ancur.wikia.com/wiki/The_Devil_and_the_Dragon_UFAQ) [Michael Boggs]
If the Corp scores Medical Breakthrough, what is the base trace strength for Amani Senai?","Medical Breakthrough’s ability is active before Amani Senai’s ability resolves, so if it’s the first copy of Medical Breakthrough to be scored or stolen, the base trace strength will be 3. Each additional copy in a player’s score area would lower the base trace strength by another 1.","False"
"amaze_amusements","2021-10-11","","If the Runner uses [Political Operative](/en/card/10043) to trash [AMAZE Amusements](/en/card/30058), does its ability remain active?","No. The ability only persists if the Runner trashes [AMAZE Amusements](/en/card/30058) while accessing it.","True"
"amaze_amusements","2021-10-11","","If the Runner accesses and trashes an unrezzed [AMAZE Amusements](/en/card/30058), does its ability apply?","No. The persistent flag only indicates that an active ability can remain active beyond its source card. The ability must be active to begin with in order for it to persist.","True"
"anansi","2020-01-29","","####[ANCUR](https://twitter.com/anr_ruleswiki) [UFAQ 21](http://ancur.wikia.com/wiki/Council_of_the_Crest_UFAQ) [Michael Boggs]
If the Runner bypasses Anansi with an encounter bypass ability (e.g. [Inside Job](/en/card/20023)), does Anansi still do 3 net damage?","Yes. Bypassing causes the encounter to end immediately, which is the trigger condition for Anansi's ability.

Can the Runner use [Hunting Grounds](/en/card/09035) to prevent Anansi's ability?","False"
"andromeda_dispossessed_ristie","2017-04-09","When the Runner mulligans with Andromeda, they draw
another starting hand of 9 cards. [Official FAQ]","","","False"
"anemone","2022-10-22","","If the Corp uses a card ability to rez [Anemone](https://netrunnerdb.com/en/card/33043) at a time other than while the Runner is approaching it, will they be able to use its ability?","Yes, as long as there is a run in progress and [Anemone](https://netrunnerdb.com/en/card/33043) is protecting the attacked server.","True"
"aniccam","2020-03-09","","####[NISEI](https://nisei.net) [Uprising Release Notes](https://nisei.net/files/Uprising_Release_Notes.pdf) [NISEI Rules Team]
Can Aniccam cause the Runner to draw a card after playing an event?","Yes, unless the event removes itself from the game or otherwise does not follow normal procedure. Normally, events are trashed after resolving.

Can Aniccam cause the Runner to draw a card after an event is hit by damage?","False"
"aniccam","2022-04-24","","If you play [Networking](https://netrunnerdb.com/en/card/31020) and choose to add it to your grip, do you draw 1 card with [Aniccam](https://netrunnerdb.com/en/card/26084)?","No, [Networking](https://netrunnerdb.com/en/card/31020) adding itself to HQ prevents the default trashing of a resolved event.","False"
"ankusa","2017-05-02","","####UFAQ [Damon Stone]
If Ankusa breaks all the subroutines on [Paper Wall](/en/card/04059), what happens?","If it is the Runner's turn, then Paper Wall is returned to HQ and is not trashed. If it is the Corp's turn, then Paper Wall is trashed and is not returned to HQ.

If Ankusa breaks all subroutines on a piece of ice during a [Knifed](/en/card/07038) run, what happens?","False"
"anoetic_void","2021-10-11","","When is the Corp’s last chance to rez [Anoetic Void](/en/card/30050) for its ability to apply to a run?","The Runner has an opportunity to jack out after passing the last piece of ice protecting the server. The “last chance” you are looking for is the paid ability window just after this (step 4e).","True"
"anoetic_void","2021-10-11","","If [Anoetic Void](/en/card/30050) is installed in the root of HQ, can it be one of the cards trashed from HQ for its ability?","No. “Cards from HQ” only refers to cards in the Corp’s hand. Upgrades installed in the root of a central server are not “in” that server.","True"
"ansel_1_0","2021-10-10","","If the Corp installs a piece of ice with the second subroutine on [Ansel 1.0](/en/card/30038) and trashes [Ansel 1.0](/en/card/30038) as part of the installation process, what happens?","If the Corp trashes [Ansel 1.0](/en/card/30038) this way, they finish resolving the install instruction, then the encounter ends and the Runner passes [Ansel 1.0](/en/card/30038)’s former position. The third subroutine on [Ansel 1.0](/en/card/30038) will not have the opportunity to resolve, because it is no longer active.","True"
"ansel_1_0","2021-10-10","","If the Corp installs a piece of ice with the second subroutine on [Ansel 1.0](/en/card/30038), can they force the Runner to approach the new ice by trashing [Ansel 1.0](/en/card/30038) and/or other ice protecting the attacked server as part of that install?","No. The new ice must be installed in the outermost position protecting the server. Since the Runner already has a position relative to the other ice protecting the server, the new ice will necessarily have a position outward from the Runner. Trashing multiple ice does not allow new ice to “leapfrog” the Runner’s position, but just moves the Runner 1 position toward the server for each trashed piece of ice that was inward from their earlier position.","True"
